epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,2796.17,1.31249,1.04199,0.01863,0.78843,0.72192,0.74928,0.45324,1.58746,1.17979,0.03095,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546
75,2834.37,1.30798,1.0362,0.01867,0.63495,0.75231,0.72158,0.42946,1.51057,1.14388,0.02947,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
76,2873.3,1.30659,1.0567,0.01891,0.64423,0.72799,0.72609,0.40748,1.67392,1.22264,0.03363,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
77,2912.88,1.31372,1.04195,0.01854,0.68563,0.71538,0.72581,0.42432,1.67802,1.05526,0.03219,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
78,2952.57,1.29975,1.03426,0.01857,0.73218,0.73399,0.74532,0.43485,1.54938,1.19739,0.03003,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754
79,2992.88,1.3044,1.05029,0.01868,0.62623,0.7071,0.72369,0.38483,1.70378,1.2183,0.03436,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
80,3033.18,1.29501,1.02631,0.01807,0.61747,0.7948,0.69124,0.40544,1.55204,1.28264,0.03061,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358
81,3072.55,1.27364,1.01604,0.01828,0.79196,0.67573,0.76687,0.41775,1.5103,1.20439,0.03136,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
82,3112.04,1.29886,0.99805,0.01852,0.67074,0.60894,0.74322,0.38447,1.71828,1.46774,0.03588,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962
83,3151.7,1.27579,0.99755,0.01807,0.62203,0.7158,0.67664,0.41096,1.61558,1.13767,0.03118,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
84,3191.51,1.29181,1.00885,0.01852,0.72742,0.64368,0.72723,0.41325,1.57766,1.13698,0.033,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566
85,3232.09,1.28283,0.9822,0.0181,0.65852,0.77538,0.72261,0.42917,1.57873,0.94746,0.03001,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
86,3272.04,1.27886,0.97045,0.01812,0.72842,0.74973,0.74309,0.43712,1.52988,1.13589,0.02944,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
87,3312.45,1.27399,0.96817,0.0183,0.66266,0.6808,0.69945,0.421,1.58773,1.17406,0.03132,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
88,3351.54,1.27913,0.97263,0.01802,0.77375,0.66951,0.72081,0.43575,1.5775,1.02934,0.02965,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774
89,3391.18,1.29141,0.97299,0.01837,0.71918,0.68168,0.72733,0.43983,1.5542,1.06341,0.03038,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
90,3430.74,1.27991,0.94783,0.01836,0.68288,0.62207,0.69022,0.37274,1.59129,1.37263,0.03079,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378
91,3469.69,1.26215,0.97539,0.01799,0.75527,0.72329,0.76056,0.44575,1.57128,1.04987,0.02946,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
92,3509.21,1.26322,0.95469,0.01787,0.6449,0.74645,0.69641,0.40641,1.60799,1.2458,0.03156,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982
93,3549.47,1.24772,0.96805,0.01771,0.82274,0.61434,0.78006,0.3817,1.78778,1.22663,0.03769,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
94,3589.36,1.25917,0.95846,0.01821,0.80054,0.64978,0.74975,0.43962,1.59731,1.05177,0.03224,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586
95,3628.86,1.25545,0.92697,0.01734,0.82193,0.77199,0.81107,0.45215,1.56813,1.18066,0.03187,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
96,3668.16,1.26413,0.93899,0.01761,0.75288,0.73885,0.7704,0.39694,1.70925,1.23654,0.03504,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
97,3707.79,1.25078,0.945,0.01779,0.44688,0.6478,0.59811,0.30826,1.71067,1.75647,0.03411,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
98,3746.41,1.24731,0.92431,0.01746,0.76545,0.68458,0.77435,0.46386,1.56853,1.0629,0.03015,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794
99,3786.57,1.25149,0.93513,0.01756,0.70914,0.75556,0.77455,0.43821,1.54047,1.20432,0.02991,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
100,3825.45,1.23769,0.91774,0.0176,0.72968,0.75501,0.78499,0.4743,1.50764,1.04095,0.02978,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398
101,3864.83,1.22709,0.92548,0.01725,0.72718,0.57304,0.67505,0.35671,1.63958,1.34329,0.0342,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
102,3903.85,1.24066,0.91124,0.01777,0.70936,0.76939,0.7782,0.45633,1.51913,1.08259,0.02994,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002
103,3944.32,1.20893,0.89904,0.01709,0.6779,0.64605,0.69953,0.44347,1.4903,1.08739,0.02752,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
104,3984.16,1.20099,0.88096,0.01684,0.83137,0.69047,0.74475,0.4442,1.5278,1.11627,0.02977,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606
105,4023.44,1.22072,0.89918,0.01706,0.55312,0.70908,0.65485,0.3442,1.6781,1.24371,0.03682,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
106,4064.12,1.23577,0.92461,0.01719,0.68316,0.6472,0.67478,0.416,1.50329,1.16682,0.03085,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
107,4102.61,1.22111,0.90177,0.01717,0.7519,0.70443,0.77573,0.47256,1.50317,0.96364,0.02793,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
108,4142.46,1.2044,0.88992,0.01689,0.65434,0.62929,0.7114,0.37228,1.74276,1.30027,0.03596,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814
109,4182.69,1.21365,0.87042,0.01692,0.79636,0.73108,0.7517,0.37066,1.64627,1.31172,0.03336,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
110,4222.65,1.19371,0.85223,0.01654,0.73806,0.73235,0.76627,0.45211,1.63674,1.04242,0.03276,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418
111,4263.88,1.20352,0.86972,0.01729,0.71144,0.62919,0.68858,0.4017,1.70132,1.15815,0.03362,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
112,4302.39,1.19971,0.86577,0.01688,0.67496,0.7315,0.71723,0.44003,1.63662,1.01233,0.03116,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022
113,4342.09,1.19713,0.88219,0.01662,0.73645,0.73844,0.7709,0.48006,1.55042,1.17297,0.0286,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
114,4381.85,1.19082,0.85936,0.01676,0.64874,0.74291,0.71449,0.41263,1.70053,1.03033,0.03281,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626
115,4422.44,1.19781,0.86732,0.01728,0.77641,0.69465,0.72786,0.43069,1.57134,1.08326,0.03004,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
116,4462.85,1.19679,0.8519,0.01653,0.63531,0.75924,0.72839,0.42017,1.65731,1.13881,0.0327,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
117,4502.58,1.19281,0.82665,0.01668,0.72557,0.61889,0.69143,0.41568,1.67754,1.11142,0.0338,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
118,4542.15,1.17679,0.83289,0.01638,0.77164,0.7389,0.75786,0.46858,1.59975,1.03857,0.03066,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834
119,4582.2,1.2006,0.85713,0.01691,0.6327,0.7888,0.72052,0.40464,1.68535,1.19629,0.0338,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
120,4622.08,1.17672,0.85207,0.0165,0.68009,0.6733,0.65269,0.39391,1.60971,1.28627,0.03055,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438
121,4662.84,1.16615,0.85309,0.01632,0.69034,0.67797,0.70817,0.42052,1.53744,1.29986,0.02902,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
122,4703.47,1.16776,0.82549,0.01645,0.73196,0.64351,0.71456,0.44311,1.65341,1.28021,0.03069,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042
123,4744.25,1.15172,0.84573,0.01601,0.73116,0.69527,0.68544,0.42907,1.59958,1.17188,0.03148,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844
124,4784.05,1.16861,0.84858,0.01638,0.76291,0.60515,0.69045,0.43524,1.54585,1.32325,0.02819,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646
125,4824.56,1.15184,0.83535,0.01615,0.71745,0.74799,0.74038,0.46252,1.56283,1.03754,0.02917,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448
126,4864.61,1.17281,0.84218,0.01643,0.68936,0.77824,0.75836,0.45958,1.55132,0.95227,0.02926,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
127,4904.77,1.15998,0.83965,0.01661,0.77161,0.61541,0.67219,0.43566,1.62332,1.11374,0.03202,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052
128,4944.78,1.15109,0.83315,0.0157,0.77479,0.63917,0.74824,0.41133,1.65003,1.0207,0.0323,0.0224562,0.0074854,0.0224562,0.0074854,0.0224562,0.0074854,0.0224562,0.0074854
129,4985.27,1.1439,0.82353,0.016,0.7008,0.75203,0.72523,0.45459,1.58553,1.08505,0.02961,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656
