fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.4902,0.00246,0.01,0.90704,0.00095,3.54377,0.61092,7.05993,0.41126,3.49505,0.00505,0.71004,0.53521,0.00345,0.10975,0.63374,0.0011,5e-05,0.00583,0.3604,0.00853,0.98538,0.00077,0.00124,0.00378,8
0.4637,0.00313,0.01393,0.9512,0.001,4.93292,0.51819,5.9239,0.51294,2.98669,0.01282,0.65654,0.50642,0.0009,0.13894,0.70393,0.00186,0.00016,0.00734,0.44621,0.00625,0.9681,0.0007,0.00351,0.0038,10
0.46592,0.00117,0.01366,0.93813,0.001,4.97568,0.57073,6.4455,0.4211,1.51393,0.0033,0.54882,0.54095,0.00342,0.12882,0.75269,0.00235,2e-05,0.00888,0.4522,0.0083,0.8802,0.00043,0.00355,0.00417,6
0.45571,0.00152,0.0108,0.89766,0.00096,4.94624,0.76243,7.45094,0.33005,3.48138,0.00445,0.52083,0.60213,0.00403,0.11112,0.65706,0.00235,0.00015,0.00405,0.29822,0.00618,0.73742,0.00098,0.00176,0.00407,10
0.48996,0.00208,0.01433,0.92392,0.00089,3.0425,0.79297,7.96445,0.48593,1.72302,0.00613,0.44037,0.50658,0.00176,0.10666,0.69353,0.00031,5e-05,0.00661,0.47565,0.00816,0.98323,0.00137,0.00362,0.00216,9
0.48983,0.00095,0.0146,0.95477,0.00084,4.10207,0.62362,7.34885,0.52989,1.78771,0.0109,0.5879,0.44281,0.0038,0.10811,0.64308,0.00268,6e-05,0.00759,0.4995,0.00356,1.0,0.00074,0.00389,0.00383,9
0.46463,0.00081,0.01539,0.94327,0.00095,3.90032,0.71704,8.35102,0.48913,0.96781,0.01302,0.41826,0.50732,0.00387,0.10892,0.42836,0.0012,0.0001,0.00233,0.48931,0.00832,0.78345,0.00146,0.00363,0.0029,9
0.49221,0.00252,0.0187,0.91889,0.00099,3.7414,0.77589,7.43488,0.55031,4.62201,0.01073,0.64488,0.40405,0.00509,0.10228,0.64786,0.00225,0.00014,0.00563,0.38284,0.00917,0.94916,0.00107,0.00299,0.00561,7
0.41958,0.00295,0.01773,0.98,0.00064,3.62829,0.63543,7.52774,0.49087,1.66497,0.00867,0.44507,0.38402,0.00617,0.14971,0.53206,0.00207,0.00012,0.00455,0.43726,0.00792,0.8098,0.00079,0.00261,0.00586,7
0.45358,0.00081,0.01456,0.98,0.001,5.0,0.77812,8.33793,0.45259,2.15606,0.00854,0.74609,0.41016,0.00446,0.0885,0.5871,0.00122,7e-05,0.00355,0.36324,0.00823,0.77378,0.00118,0.00229,0.0029,7
0.49574,0.00187,0.01303,0.87143,0.00085,4.62849,0.76292,8.63086,0.30636,4.01465,0.00527,0.9,0.43435,0.00433,0.10296,0.63368,0.00119,0.00016,0.00845,0.30437,0.00774,0.95573,0.00094,0.00277,0.00617,10
0.47436,0.00203,0.01784,0.94836,0.001,4.03722,0.60029,7.51794,0.70824,2.2119,0.01093,0.64076,0.35742,0.00131,0.10314,0.61786,0.00169,9e-05,0.00875,0.49154,0.00736,0.89705,0.00101,0.00355,0.00371,8
0.49864,0.00059,0.01,0.86015,0.00083,5.0,0.55107,9.35492,0.23591,3.52131,0.00894,0.77743,0.46707,0.00214,0.05279,0.54865,0.00127,5e-05,0.00879,0.60765,0.00368,0.97679,0.00082,0.00393,0.00261,7
0.48184,0.00231,0.01018,0.74822,0.00074,5.0,0.53334,8.016,0.41239,2.79887,0.00728,0.44867,0.46475,0.00166,0.08794,0.7257,0.00296,9e-05,0.00799,0.51553,0.0038,0.95206,0.00065,0.00189,0.00375,9
0.46997,0.002,0.01304,0.92583,0.00084,4.75375,0.95,7.96664,0.36664,2.13404,0.00341,0.71926,0.47132,0.00514,0.15408,0.71426,0.00056,4e-05,0.00792,0.53259,0.00606,0.76986,0.00068,0.00406,0.00192,10
