epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,2387.89,1.35393,1.18056,0.01946,0.74047,0.73306,0.77009,0.43067,1.61489,1.13578,0.03162,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
77,2418.87,1.3509,1.15845,0.01905,0.71492,0.77918,0.77966,0.45142,1.44307,1.23924,0.02675,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
78,2449.03,1.36303,1.14651,0.01966,0.72629,0.74892,0.75628,0.43752,1.55376,1.13847,0.03148,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754
79,2479.51,1.35676,1.14958,0.01956,0.83423,0.73777,0.81063,0.45607,1.56315,1.12722,0.02899,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
80,2509.67,1.35881,1.14308,0.01915,0.75805,0.60282,0.72216,0.42452,1.50148,1.21788,0.02768,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358
81,2540.96,1.33624,1.12969,0.01939,0.78533,0.67064,0.76325,0.42196,1.55468,1.31886,0.0314,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
82,2571.06,1.35255,1.11162,0.01918,0.76009,0.75465,0.77405,0.45927,1.47563,1.24486,0.02821,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962
83,2602.25,1.32688,1.10889,0.01885,0.75253,0.76563,0.83275,0.44351,1.61395,1.03154,0.03193,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
84,2633.06,1.34959,1.13935,0.01952,0.61502,0.75607,0.73232,0.40331,1.64164,1.2728,0.03176,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566
85,2663.66,1.33761,1.10654,0.01897,0.62705,0.70878,0.73405,0.42438,1.48259,1.12904,0.02974,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
86,2695.16,1.34852,1.0953,0.01915,0.74675,0.75965,0.82139,0.4917,1.48647,1.04966,0.02858,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
87,2726.3,1.32856,1.10158,0.01907,0.68101,0.62571,0.70639,0.33224,1.73844,1.35448,0.03606,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
88,2756.32,1.33155,1.10233,0.0189,0.65593,0.7499,0.75006,0.38206,1.79712,1.22764,0.03655,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774
89,2787.24,1.33988,1.10171,0.0192,0.728,0.72563,0.75953,0.44759,1.48723,1.14671,0.02834,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
90,2817.88,1.32211,1.10389,0.01893,0.66279,0.80397,0.77295,0.4503,1.55329,1.07147,0.02936,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378
91,2848.32,1.31694,1.1017,0.01903,0.66285,0.73117,0.72253,0.45902,1.43741,1.21887,0.02823,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
92,2878.15,1.32524,1.07566,0.01883,0.65774,0.37383,0.50713,0.23571,1.93142,2.40155,0.0433,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982
93,2908.55,1.32862,1.09962,0.0189,0.77553,0.67101,0.73034,0.42978,1.39714,1.18928,0.02948,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
94,2940.24,1.31776,1.09174,0.01925,0.79107,0.72987,0.79518,0.46661,1.54921,0.9926,0.03152,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586
95,2971.35,1.31749,1.07215,0.01846,0.72093,0.71613,0.78646,0.41577,1.6802,1.21688,0.033,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
96,3003.14,1.3059,1.09285,0.01831,0.66017,0.71235,0.71739,0.37569,1.62849,1.30246,0.03561,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
97,3033.78,1.31953,1.09733,0.01877,0.79843,0.57852,0.69195,0.34953,1.74783,1.26558,0.03641,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
98,3064.37,1.31268,1.06983,0.01863,0.80239,0.69934,0.73977,0.41751,1.69148,1.08407,0.03288,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794
99,3095.08,1.31658,1.07968,0.01852,0.68563,0.57281,0.64345,0.35396,1.59874,1.48445,0.03426,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
100,3125.32,1.309,1.04525,0.01866,0.77336,0.68691,0.73674,0.4023,1.73037,1.0792,0.03708,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398
101,3155.88,1.30845,1.0479,0.0186,0.62418,0.75608,0.72131,0.38855,1.73919,1.07418,0.03562,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
102,3187.52,1.31127,1.06354,0.01885,0.67192,0.63559,0.69535,0.34667,1.77906,1.17768,0.03712,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002
103,3217.82,1.28748,1.05,0.01843,0.66738,0.72053,0.74746,0.4332,1.69238,1.02081,0.03262,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
104,3249.49,1.27667,1.04553,0.01808,0.70788,0.73448,0.79127,0.36728,1.89692,1.2843,0.03787,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606
105,3279.53,1.29059,1.0408,0.01827,0.75469,0.64626,0.72786,0.4077,1.72397,1.16068,0.03486,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
