epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,2888.91,1.34645,0.80372,0.01651,0.77332,0.68262,0.76865,0.4311,1.6003,0.68858,0.02544,0.00164513,0.00164513,0.00164513
102,2917.51,1.34682,0.81072,0.01658,0.86858,0.78239,0.83473,0.44184,1.61613,0.65741,0.02703,0.00164108,0.00164108,0.00164108
103,2947.03,1.32421,0.80598,0.01621,0.78975,0.67153,0.76907,0.4678,1.44266,0.74373,0.02155,0.00163703,0.00163703,0.00163703
104,2976.4,1.33025,0.79404,0.01619,0.81974,0.63778,0.77686,0.46226,1.43526,0.67284,0.02287,0.00163298,0.00163298,0.00163298
105,3004.93,1.3269,0.78758,0.0164,0.76296,0.75816,0.78888,0.43773,1.59014,0.65494,0.02634,0.00162893,0.00162893,0.00162893
106,3033.41,1.33306,0.80901,0.01657,0.81543,0.61645,0.75023,0.4312,1.56722,0.65952,0.02511,0.00162488,0.00162488,0.00162488
107,3061.63,1.33785,0.78988,0.01652,0.66551,0.709,0.76314,0.42026,1.51564,0.78679,0.0247,0.00162083,0.00162083,0.00162083
108,3089.87,1.33398,0.80405,0.01633,0.69377,0.66159,0.76335,0.41381,1.59397,0.75001,0.02584,0.00161678,0.00161678,0.00161678
109,3118.19,1.32322,0.79743,0.01633,0.72281,0.74637,0.79731,0.44046,1.57002,0.69324,0.02625,0.00161274,0.00161274,0.00161274
110,3146.05,1.32149,0.79509,0.01617,0.74138,0.72894,0.83842,0.44443,1.56816,0.71677,0.02485,0.00160869,0.00160869,0.00160869
111,3175.18,1.31035,0.7943,0.01633,0.8046,0.71574,0.81123,0.44293,1.61344,0.66547,0.02634,0.00160464,0.00160464,0.00160464
112,3204.07,1.32475,0.80214,0.01615,0.86431,0.69849,0.82241,0.48006,1.40063,0.67396,0.02272,0.00160059,0.00160059,0.00160059
113,3232.4,1.31044,0.77223,0.01594,0.87187,0.69878,0.81831,0.43333,1.57452,0.66464,0.02566,0.00159654,0.00159654,0.00159654
114,3260.36,1.30845,0.78612,0.01626,0.73367,0.73074,0.78887,0.45904,1.45423,0.73875,0.02197,0.00159249,0.00159249,0.00159249
115,3288.65,1.32316,0.7806,0.01614,0.7955,0.72895,0.82314,0.46744,1.55761,0.64677,0.02434,0.00158844,0.00158844,0.00158844
116,3316.27,1.30592,0.78116,0.01601,0.77669,0.69161,0.7981,0.48534,1.47549,0.72852,0.02307,0.00158439,0.00158439,0.00158439
117,3345.65,1.31927,0.7741,0.01638,0.79009,0.74136,0.80755,0.46149,1.51944,0.69333,0.02465,0.00158035,0.00158035,0.00158035
118,3373.97,1.30257,0.77218,0.01616,0.83575,0.74772,0.84768,0.47848,1.45429,0.65257,0.02357,0.0015763,0.0015763,0.0015763
119,3402.69,1.32163,0.77164,0.01577,0.74118,0.8386,0.83196,0.46039,1.48517,0.701,0.02308,0.00157225,0.00157225,0.00157225
120,3431.45,1.30202,0.77714,0.01583,0.76738,0.75096,0.79431,0.47884,1.42889,0.65135,0.02336,0.0015682,0.0015682,0.0015682
121,3459.41,1.28415,0.74737,0.01581,0.80641,0.74073,0.82373,0.46989,1.52506,0.66879,0.02393,0.00156415,0.00156415,0.00156415
122,3488.35,1.30738,0.76947,0.01615,0.75433,0.69606,0.79623,0.45597,1.43122,0.7419,0.02241,0.0015601,0.0015601,0.0015601
123,3516.89,1.29219,0.75069,0.01574,0.76087,0.76512,0.8097,0.47949,1.46877,0.60892,0.02351,0.00155605,0.00155605,0.00155605
124,3545.7,1.30663,0.75226,0.01589,0.71758,0.68037,0.74533,0.4139,1.45722,0.80051,0.02263,0.001552,0.001552,0.001552
125,3575.86,1.29952,0.75265,0.01604,0.77931,0.69964,0.76948,0.44643,1.52581,0.70213,0.02414,0.00154796,0.00154796,0.00154796
126,3604.2,1.31456,0.75365,0.01615,0.79178,0.70039,0.81539,0.49356,1.44664,0.6752,0.02197,0.00154391,0.00154391,0.00154391
127,3632.84,1.27834,0.72977,0.01558,0.70303,0.80112,0.76864,0.44538,1.4804,0.69387,0.02434,0.00153986,0.00153986,0.00153986
128,3660.27,1.29826,0.75598,0.01582,0.78438,0.67051,0.77129,0.44985,1.55742,0.69324,0.02538,0.00153581,0.00153581,0.00153581
129,3691.59,1.28286,0.75172,0.01561,0.73566,0.76285,0.79363,0.46833,1.51044,0.71563,0.02399,0.00153176,0.00153176,0.00153176
