epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,3154.66,1.39049,1.30306,0.03285,0.67944,0.7928,0.79215,0.45708,1.51696,1.02854,0.04647,0.00129223,0.00129223,0.00129223
94,3188.14,1.37044,1.25247,0.03211,0.71921,0.63832,0.76798,0.44532,1.57884,1.10086,0.05063,0.0012891,0.0012891,0.0012891
95,3222.25,1.35183,1.25985,0.03151,0.69101,0.66349,0.7041,0.3568,1.77307,1.2206,0.05666,0.00128597,0.00128597,0.00128597
96,3256.17,1.34974,1.26964,0.03059,0.70203,0.78281,0.81032,0.44678,1.55493,0.98282,0.05078,0.00128285,0.00128285,0.00128285
97,3290.58,1.3733,1.25502,0.03172,0.81371,0.74889,0.83506,0.46177,1.5981,1.01061,0.05146,0.00127972,0.00127972,0.00127972
98,3324.62,1.34983,1.2492,0.03164,0.74474,0.72112,0.79455,0.46007,1.52406,1.07146,0.04709,0.00127659,0.00127659,0.00127659
99,3358.53,1.35812,1.20181,0.03122,0.66671,0.80455,0.75542,0.45048,1.47273,1.17018,0.04679,0.00127346,0.00127346,0.00127346
100,3392.81,1.36324,1.27321,0.03128,0.61841,0.76884,0.75763,0.43727,1.58649,1.07593,0.05285,0.00127034,0.00127034,0.00127034
101,3426.62,1.36515,1.24125,0.03206,0.72261,0.75328,0.77316,0.45516,1.50456,1.09713,0.04633,0.00126721,0.00126721,0.00126721
102,3460.34,1.36706,1.26286,0.03193,0.62016,0.64579,0.71058,0.38725,1.51187,1.14177,0.04813,0.00126408,0.00126408,0.00126408
103,3494.15,1.34692,1.22092,0.03121,0.79824,0.72934,0.80059,0.45237,1.59656,0.99909,0.05049,0.00126095,0.00126095,0.00126095
104,3527.25,1.33988,1.21861,0.03145,0.74737,0.78121,0.80792,0.4574,1.49674,1.00566,0.04514,0.00125782,0.00125782,0.00125782
105,3561.82,1.33329,1.19578,0.03101,0.72478,0.75461,0.8014,0.44987,1.5321,1.02524,0.0488,0.0012547,0.0012547,0.0012547
106,3595.15,1.33899,1.18062,0.03083,0.7225,0.85992,0.84191,0.43456,1.4899,1.27893,0.04668,0.00125157,0.00125157,0.00125157
107,3628.84,1.34672,1.18013,0.03086,0.74146,0.76897,0.79683,0.42983,1.58689,1.04357,0.05055,0.00124844,0.00124844,0.00124844
108,3662.82,1.3418,1.21585,0.03126,0.81296,0.83068,0.80801,0.44349,1.44986,1.11797,0.04689,0.00124531,0.00124531,0.00124531
109,3696.66,1.31191,1.19189,0.03061,0.70469,0.66325,0.70558,0.38036,1.57879,1.25911,0.05211,0.00124218,0.00124218,0.00124218
110,3729.97,1.34896,1.21278,0.03145,0.75679,0.84495,0.8318,0.48554,1.46102,0.9652,0.04742,0.00123906,0.00123906,0.00123906
111,3764.26,1.31707,1.17172,0.03058,0.67977,0.66729,0.71461,0.44189,1.42698,1.19363,0.0473,0.00123593,0.00123593,0.00123593
112,3798.91,1.32242,1.17066,0.03022,0.7416,0.80816,0.79357,0.43852,1.54079,1.0604,0.04804,0.0012328,0.0012328,0.0012328
113,3833.21,1.32942,1.14884,0.03112,0.79994,0.78735,0.84187,0.44141,1.53858,1.16376,0.0494,0.00122967,0.00122967,0.00122967
114,3866.02,1.35126,1.16951,0.0315,0.7476,0.83216,0.82926,0.44602,1.51346,1.12053,0.04841,0.00122654,0.00122654,0.00122654
115,3899.54,1.33688,1.1679,0.03104,0.73191,0.75963,0.8236,0.46849,1.59654,1.04314,0.05038,0.00122342,0.00122342,0.00122342
116,3933.24,1.33117,1.18736,0.03091,0.70457,0.65091,0.70872,0.35732,1.71114,1.56082,0.05562,0.00122029,0.00122029,0.00122029
117,3966.61,1.31912,1.16611,0.03059,0.70751,0.72418,0.79138,0.43232,1.62214,1.24789,0.05421,0.00121716,0.00121716,0.00121716
118,4001.04,1.30955,1.14809,0.03033,0.78955,0.68412,0.79367,0.47416,1.57285,1.08367,0.04909,0.00121403,0.00121403,0.00121403
119,4035.32,1.34364,1.16912,0.03063,0.74922,0.73265,0.7642,0.43506,1.49848,1.11796,0.04715,0.0012109,0.0012109,0.0012109
120,4068.85,1.30986,1.16356,0.03021,0.62863,0.60133,0.6657,0.33648,1.62446,1.46725,0.05174,0.00120778,0.00120778,0.00120778
121,4102.05,1.32663,1.15307,0.03019,0.80694,0.70406,0.81735,0.4324,1.64686,1.09646,0.05506,0.00120465,0.00120465,0.00120465
122,4136.31,1.32466,1.14713,0.03026,0.66741,0.81874,0.82715,0.47993,1.46386,1.03679,0.04485,0.00120152,0.00120152,0.00120152
123,4169.91,1.32034,1.12775,0.03053,0.81873,0.7032,0.80898,0.4573,1.56365,1.0803,0.05091,0.00119839,0.00119839,0.00119839
124,4203.14,1.30402,1.13829,0.03008,0.67132,0.76644,0.75838,0.42998,1.53231,1.21304,0.04927,0.00119527,0.00119527,0.00119527
125,4236.78,1.31251,1.12408,0.03032,0.72345,0.70157,0.78865,0.39198,1.59789,1.45792,0.05072,0.00119214,0.00119214,0.00119214
126,4271.44,1.31492,1.12021,0.03015,0.79004,0.69223,0.75789,0.41252,1.62789,1.14202,0.05065,0.00118901,0.00118901,0.00118901
127,4305.75,1.28217,1.11223,0.0304,0.65273,0.73396,0.73445,0.45246,1.42155,1.1058,0.04538,0.00118588,0.00118588,0.00118588
128,4339.56,1.30489,1.12249,0.0301,0.69926,0.73267,0.70283,0.42086,1.53532,1.00838,0.04749,0.00118275,0.00118275,0.00118275
129,4373.7,1.29338,1.14481,0.02973,0.581,0.75913,0.7447,0.44788,1.51456,1.13726,0.04701,0.00117963,0.00117963,0.00117963
130,4406.53,1.28907,1.12117,0.02943,0.73412,0.6358,0.7066,0.42009,1.58694,1.10174,0.05338,0.0011765,0.0011765,0.0011765
131,4440.51,1.31583,1.14408,0.03028,0.70228,0.77261,0.74838,0.42324,1.57768,1.07128,0.05004,0.00117337,0.00117337,0.00117337
132,4474.3,1.31016,1.12647,0.03034,0.60922,0.71651,0.7314,0.39488,1.57177,1.22984,0.0505,0.00117024,0.00117024,0.00117024
133,4508.19,1.29232,1.08287,0.02998,0.68026,0.72878,0.7081,0.40997,1.52013,1.157,0.04698,0.00116711,0.00116711,0.00116711
134,4541.91,1.29057,1.08571,0.02933,0.71851,0.77433,0.79071,0.4128,1.55887,0.97949,0.04687,0.00116399,0.00116399,0.00116399
135,4575.81,1.3014,1.09414,0.03007,0.68094,0.83004,0.81128,0.44197,1.5714,0.96462,0.05005,0.00116086,0.00116086,0.00116086
136,4610.08,1.29715,1.11101,0.02992,0.75103,0.71925,0.77612,0.39224,1.6574,1.04966,0.05371,0.00115773,0.00115773,0.00115773
137,4643.91,1.28941,1.10576,0.02941,0.75566,0.77477,0.80172,0.48029,1.53265,0.97404,0.04955,0.0011546,0.0011546,0.0011546
138,4677.3,1.28455,1.13017,0.02992,0.74141,0.73373,0.76614,0.43766,1.5606,1.18486,0.04669,0.00115147,0.00115147,0.00115147
139,4711.01,1.27318,1.10081,0.02921,0.67705,0.73658,0.75267,0.41916,1.56903,1.14668,0.05036,0.00114835,0.00114835,0.00114835
140,4744.52,1.28403,1.09185,0.02992,0.81434,0.67493,0.74734,0.40107,1.55561,1.0735,0.05088,0.00114522,0.00114522,0.00114522
141,4778.39,1.29173,1.08288,0.02921,0.70342,0.77303,0.81173,0.45011,1.59474,0.96727,0.05156,0.00114209,0.00114209,0.00114209
142,4811.77,1.28699,1.12382,0.03005,0.71646,0.69366,0.77039,0.41436,1.58149,1.18903,0.05332,0.00113896,0.00113896,0.00113896
143,4845.73,1.29682,1.10975,0.02981,0.70599,0.75291,0.75541,0.382,1.72054,1.1629,0.05798,0.00113583,0.00113583,0.00113583
144,4880.15,1.28719,1.06899,0.02979,0.65136,0.80391,0.74516,0.36864,1.67397,1.03981,0.05612,0.00113271,0.00113271,0.00113271
145,4913.92,1.28993,1.07725,0.02991,0.84634,0.67246,0.77904,0.39126,1.63628,1.06524,0.04985,0.00112958,0.00112958,0.00112958
146,4947.72,1.28909,1.09736,0.02977,0.77384,0.68041,0.76888,0.38547,1.7331,1.06463,0.05775,0.00112645,0.00112645,0.00112645
147,4981.69,1.28037,1.06926,0.02954,0.692,0.72703,0.73979,0.3978,1.6901,1.17258,0.05437,0.00112332,0.00112332,0.00112332
148,5015.23,1.26636,1.07703,0.02919,0.69806,0.73766,0.74409,0.43185,1.55403,1.06435,0.04944,0.00112019,0.00112019,0.00112019
149,5049.07,1.26604,1.05505,0.02909,0.71622,0.75923,0.7883,0.42879,1.57511,0.95463,0.05005,0.00111707,0.00111707,0.00111707
150,5083.19,1.28508,1.08024,0.02967,0.81909,0.77148,0.80726,0.42041,1.67528,1.09247,0.05428,0.00111394,0.00111394,0.00111394
151,5116.53,1.27616,1.07181,0.02897,0.79716,0.73069,0.76354,0.41767,1.66129,1.07092,0.05224,0.00111081,0.00111081,0.00111081
152,5150.23,1.26555,1.05766,0.0293,0.75038,0.69203,0.77123,0.4074,1.71873,1.1839,0.05577,0.00110768,0.00110768,0.00110768
153,5183.63,1.26793,1.04988,0.02877,0.71034,0.73422,0.73041,0.38345,1.62263,1.21479,0.05305,0.00110456,0.00110456,0.00110456
154,5217.29,1.27344,1.10244,0.02925,0.71653,0.78026,0.74948,0.42356,1.59722,1.15591,0.05152,0.00110143,0.00110143,0.00110143
155,5251.31,1.26675,1.0445,0.02937,0.86921,0.73245,0.78888,0.45229,1.55886,1.01649,0.04799,0.0010983,0.0010983,0.0010983
156,5284.92,1.25683,1.04676,0.02892,0.74332,0.74199,0.76439,0.41311,1.58216,1.05445,0.04954,0.00109517,0.00109517,0.00109517
157,5318.66,1.2802,1.06828,0.02907,0.85542,0.67457,0.78844,0.46345,1.57993,1.05756,0.04971,0.00109204,0.00109204,0.00109204
158,5352.11,1.2457,1.05264,0.02839,0.81857,0.65257,0.76135,0.44909,1.47989,1.15463,0.04479,0.00108892,0.00108892,0.00108892
159,5386.52,1.25355,1.06763,0.02812,0.77943,0.68297,0.75975,0.46755,1.44488,1.08771,0.04512,0.00108579,0.00108579,0.00108579
160,5422.65,1.24984,1.02257,0.02837,0.79161,0.71193,0.79524,0.43145,1.6062,1.1679,0.05138,0.00108266,0.00108266,0.00108266
